Rank,School Name,School Type,Early Career Pay,Mid-Career Pay,% High Meaning,% STEM Degrees
239,Auburn University,"Research University, For Sports Fans, State School","$67,500 ","$123,300 ",50%,32%
239,University of Hartford,"Private School, Research University, For Sports Fans","$67,000 ","$123,300 ",53%,12%
243,Rutgers University-Newark,"Research University, State School","$70,400 ","$123,100 ",47%,15%
243,Spring Hill College,"Liberal Arts School, Private School, Religious","$56,900 ","$123,100 ",52%,8%
245,Seton Hall University,"Private School, Religious, Research University, For Sports Fans","$70,200 ","$122,900 ",50%,9%
245,The University of the South,"Liberal Arts School, Party School, Private School, Religious","$64,900 ","$122,900 ",60%,16%
245,Whittier College,"Liberal Arts School, Private School","$63,200 ","$122,900 ",49%,17%
248,Lake Forest College,"Liberal Arts School, Private School","$66,900 ","$122,700 ",42%,19%
249,Siena College,"Liberal Arts School, Private School, Religious, For Sports Fans","$67,200 ","$122,600 ",48%,16%
250,The College of New Jersey,State School,"$73,400 ","$122,400 ",46%,18%
250,West Virginia University Institute of Technology,State School,"$66,600 ","$122,400 ",48%,39%
252,Drake University,"Private School, For Sports Fans","$64,200 ","$122,300 ",51%,7%
252,University of Massachusetts-Amherst,"Research University, For Sports Fans, State School","$71,200 ","$122,300 ",46%,27%
254,Rhode Island School of Design,Private School,"$71,600 ","$122,100 ",39%,12%
255,California Lutheran University,"Private School, Religious","$62,400 ","$122,000 ",51%,12%
256,Loyola University Chicago,"Private School, Religious, Research University, For Sports Fans","$66,400 ","$121,900 ",43%,16%
256,Grinnell College,"Liberal Arts School, Private School","$67,600 ","$121,900 ",43%,38%
258,Colorado College,"Liberal Arts School, Private School","$65,700 ","$121,800 ",48%,29%
259,SUNY Downstate Health Sciences University,State School,"$81,000 ","$121,700 ",83%,1%
259,California State University-Long Beach,"For Sports Fans, State School","$64,900 ","$121,700 ",49%,16%
259,Montana Technological University,"Engineering, State School","$72,900 ","$121,700 ",61%,61%
262,University of Illinois Chicago,"Research University, For Sports Fans, State School","$69,800 ","$121,600 ",47%,29%
263,Florida Institute of Technology,"Private School, Research University","$72,200 ","$121,500 ",48%,41%
263,Taylor University,"Private School, Religious","$60,800 ","$121,500 ",52%,21%
265,Pitzer College,"Liberal Arts School, Private School","$68,100 ","$121,400 ",57%,20%
266,Oregon Institute of Technology,State School,"$76,200 ","$121,300 ",59%,29%
267,Grove City College,"Liberal Arts School, Private School, Religious, Sober School","$67,600 ","$121,200 ",49%,27%
